ITEM       NUMERO          BINARIO                                  HEXADECIMAL    
-------------------------------------------------------------------------------------
1          -39             -100111                                  -27            
2          -36             -100100                                  -24            
3          8               1000                                     8              
4          34              100010                                   22             
5          17              10001                                    11             
6          49              110001                                   31             
7          5               101                                      5              
8          39              100111                                   27             
9          0               0                                        0              
10         33              100001                                   21             
11         12              1100                                     C              
12         -6              -110                                     -6             
13         27              11011                                    1B             
14         -4              -100                                     -4             
15         -38             -100110                                  -26            
16         26              11010                                    1A             
17         49              110001                                   31             
18         29              11101                                    1D             
19         42              101010                                   2A             
20         -16             -10000                                   -10            
21         -28             -11100                                   -1C            
22         34              100010                                   22             
23         20              10100                                    14             
24         0               0                                        0              
25         25              11001                                    19             
26         45              101101                                   2D             
27         3               11                                       3              
28         -46             -101110                                  -2E            
29         -46             -101110                                  -2E            
30         29              11101                                    1D             
31         33              100001                                   21             
32         29              11101                                    1D             
33         26              11010                                    1A             
34         -5              -101                                     -5             
35         -36             -100100                                  -24            
36         12              1100                                     C              
37         45              101101                                   2D             
38         -50             -110010                                  -32            
39         0               0                                        0              
40         -6              -110                                     -6             
41         -39             -100111                                  -27            
42         35              100011                                   23             
43         26              11010                                    1A             
44         -35             -100011                                  -23            
45         -42             -101010                                  -2A            
46         14              1110                                     E              
47         -3              -11                                      -3             
48         22              10110                                    16             
49         -47             -101111                                  -2F            
50         12              1100                                     C              
51         -17             -10001                                   -11            
52         -31             -11111                                   -1F            
53         -25             -11001                                   -19            
54         -35             -100011                                  -23            
55         -18             -10010                                   -12            
56         14              1110                                     E              
57         37              100101                                   25             
58         -8              -1000                                    -8             
59         -41             -101001                                  -29            
60         -50             -110010                                  -32            
61         -9              -1001                                    -9             
62         2               10                                       2              
63         12              1100                                     C              
64         -39             -100111                                  -27            
65         -17             -10001                                   -11            
66         0               0                                        0              
67         27              11011                                    1B             
68         28              11100                                    1C             
69         45              101101                                   2D             
70         -44             -101100                                  -2C            
71         28              11100                                    1C             
72         35              100011                                   23             
73         -33             -100001                                  -21            
74         43              101011                                   2B             
75         -4              -100                                     -4             
76         23              10111                                    17             
77         -49             -110001                                  -31            
78         49              110001                                   31             
79         -7              -111                                     -7             
80         -38             -100110                                  -26            
81         -45             -101101                                  -2D            
82         5               101                                      5              
83         -21             -10101                                   -15            
84         26              11010                                    1A             
85         -2              -10                                      -2             
86         -24             -11000                                   -18            
87         6               110                                      6              
88         -45             -101101                                  -2D            
89         -4              -100                                     -4             
90         15              1111                                     F              
91         0               0                                        0              
92         -17             -10001                                   -11            
93         -35             -100011                                  -23            
94         43              101011                                   2B             
95         45              101101                                   2D             
96         -35             -100011                                  -23            
97         -8              -1000                                    -8             
98         28              11100                                    1C             
99         47              101111                                   2F             
100        34              100010                                   22             
101        -24             -11000                                   -18            
102        -42             -101010                                  -2A            
103        -13             -1101                                    -D             
104        14              1110                                     E              
105        -45             -101101                                  -2D            
106        -35             -100011                                  -23            
107        27              11011                                    1B             
108        -12             -1100                                    -C             
109        -19             -10011                                   -13            
110        -20             -10100                                   -14            
111        -14             -1110                                    -E             
112        20              10100                                    14             
113        30              11110                                    1E             
114        12              1100                                     C              
115        -36             -100100                                  -24            
116        -47             -101111                                  -2F            
117        -27             -11011                                   -1B            
118        -3              -11                                      -3             
119        6               110                                      6              
120        36              100100                                   24             
121        9               1001                                     9              
122        -16             -10000                                   -10            
123        36              100100                                   24             
124        -27             -11011                                   -1B            
125        7               111                                      7              
126        -6              -110                                     -6             
127        -5              -101                                     -5             
128        5               101                                      5              
129        47              101111                                   2F             
130        23              10111                                    17             
131        -48             -110000                                  -30            
132        -24             -11000                                   -18            
133        40              101000                                   28             
134        -4              -100                                     -4             
135        -18             -10010                                   -12            
136        -19             -10011                                   -13            
137        14              1110                                     E              
138        15              1111                                     F              
139        1               1                                        1              
140        24              11000                                    18             
141        -9              -1001                                    -9             
142        -50             -110010                                  -32            
143        18              10010                                    12             
144        15              1111                                     F              
145        30              11110                                    1E             
146        44              101100                                   2C             
147        9               1001                                     9              
148        19              10011                                    13             
149        33              100001                                   21             
150        41              101001                                   29             
151        -24             -11000                                   -18            
152        43              101011                                   2B             
153        48              110000                                   30             
154        -23             -10111                                   -17            
155        7               111                                      7              
156        28              11100                                    1C             
157        8               1000                                     8              
158        -2              -10                                      -2             
159        37              100101                                   25             
160        42              101010                                   2A             
161        -17             -10001                                   -11            
162        -6              -110                                     -6             
163        36              100100                                   24             
164        22              10110                                    16             
165        27              11011                                    1B             
166        31              11111                                    1F             
167        -47             -101111                                  -2F            
168        -43             -101011                                  -2B            
169        0               0                                        0              
170        27              11011                                    1B             
171        30              11110                                    1E             
172        12              1100                                     C              
173        -15             -1111                                    -F             
174        -19             -10011                                   -13            
175        -42             -101010                                  -2A            
176        -37             -100101                                  -25            
177        31              11111                                    1F             
178        -10             -1010                                    -A             
179        18              10010                                    12             
180        33              100001                                   21             
181        -15             -1111                                    -F             
182        17              10001                                    11             
183        25              11001                                    19             
184        -25             -11001                                   -19            
185        -5              -101                                     -5             
186        33              100001                                   21             
187        -13             -1101                                    -D             
188        33              100001                                   21             
189        -10             -1010                                    -A             
190        47              101111                                   2F             
191        47              101111                                   2F             
192        -13             -1101                                    -D             
193        -32             -100000                                  -20            
194        1               1                                        1              
195        1               1                                        1              
196        -25             -11001                                   -19            
197        -33             -100001                                  -21            
198        16              10000                                    10             
199        17              10001                                    11             
200        4               100                                      4              
-------------------------------------------------------------------------------------
Tiempo de ejecucion: 0.000353 segundos
